RouteId,RouteVarId,RouteVarName,RouteVarShortName,RouteNo,StartStop,EndStop,Distance,Outbound,RunningTime
65,129,Lượt đi: Cảng Quận 4 - Bến đò Bình Quới,Bình Quới,44,Bến xe buýt Kho Muối,Bến đò Bình Quới,15852.0,True,60
67,133,Lượt đi: Bến xe buýt Kho Muối - Mễ Cốc,Bến Mễ Cốc,46,Bến xe buýt Kho Muối,Mễ Cốc,16869.000000000004,True,65
